Rank,Team,Gold,Silver,Bronze,S Tier,Earnings
1,Sentinels,12,3,1,1,"$561,500"
2,Acend,5,1,1,1,"$498,859"
3,Gambit Esports,8,3,0,1,"$495,638"
4,Team Liquid,4,2,2,0,"$295,374"
5,G2 Esports,7,2,1,0,"$257,925"
